CAPACIDAD (MB);TIME;CPU(%);MEM_USAGE(MB);MEM(%);NET_input (kb);NET_output (kb);BLOCK_input (kb);BLOCK_output (kb);;;;
100;0;0.02;40.35;40.35;5.8;0;893;0;;;;
100;30;9.82;53.96;53.96;20.3;57.4;893;98.3;;;;
100;60;15.39;54.55;54.55;51.3;224;893;197;;;;
100;90;15.22;54.66;54.66;91.6;432;893;295;;;;
100;120;14.48;54.82;54.82;131;640;893;400;;;;
100;150;14.79;54.9;54.90;170;849;893;504;;;;
100;180;0.03;54.98;54.98;204;1064;893;504;;;;
55;0;0.02;41.11;74.74;8.22;0;16600;0;;;;
55;30;14.27;45.6;82.90;10.8;0.182;17700;1140;;;;
55;60;14.69;48.46;88.12;53.9;224;27900;8430;;;;
55;90;15.07;48.39;87.98;92.9;432;27900;8530;;;;
55;120;14.94;48.11;87.47;133;641;27900;8630;;;;
55;150;15.44;48.26;87.74;172;849;27900;8720;;;;
55;180;0.05;48.34;87.88;205;1040;27900;8720;;;;
50;0;0.05;40.7;81.39;6.38;0;7890;0;;;;
50;30;1.09;38.31;76.62;9.71;3.36;13100;15700;;;;
50;60;11.69;40.83;81.66;51.5;213;16000;15900;;;;
50;90;11.49;40.83;81.66;89.1;421;16000;16000;;;;
50;120;15.24;40.99;81.98;131;541;16000;16100;;;;
50;150;14.39;41.07;82.15;170;849;16000;16200;;;;
50;180;0.01;41.16;82.32;203;1040;16000;16200;;;;
40;0;0.02;36.18;90.45;6.54;0;25300;12900;;;;
40;30;20.25;35.53;88.82;8.94;0.182;38100;22000;;;;
40;60;11.58;34.36;85.91;51.5;212;58300;30500;;;;
40;90;16.42;34.32;85.81;92.2;432;58300;30700;;;;
40;120;11.37;34.34;85.86;131;629;58300;30800;;;;
40;150;11.05;34.4;86.01;169;836;58300;30800;;;;
40;180;0.02;34.46;86.16;205;1040;58300;30900;;;;
30;;0.02;25.8;85.99;3.85;0;60500;24800;;;;
30;;6.17;26.24;87.47;6.14;192;68500;24800;;;;
30;;16.22;25.21;84.08;48.9;224;102000;49200;;;;
30;;14.91;25.3;84.32;88.3;432;102000;49300;;;;
30;;15.39;25.38;84.58;127;641;102000;49400;;;;
30;;11.15;25.48;84.93;165;838;102000;49500;;;;
30;;0.02;25.56;85.21;200;1040;102000;49500;;;;
20;;12.05;16.77;83.87;4.12;0;401000;165;;;;
20;;4.84;19.64;98.22;9.46;696;933;391;;;;
